,Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
0,1,20100205,42.31,2.572,211.0963582,8.106,False
1,1,20100212,38.51,2.548,211.24216980000003,8.106,True
2,1,20100219,39.93,2.5140000000000002,211.2891429,8.106,False
3,1,20100226,46.63,2.5610000000000004,211.3196429,8.106,False
4,1,20100305,46.5,2.625,211.3501429,8.106,False
5,1,20100312,57.79,2.667,211.3806429,8.106,False
6,1,20100319,54.58,2.72,211.21563500000002,8.106,False
7,1,20100326,51.45,2.7319999999999998,211.0180424,8.106,False
8,1,20100402,62.27,2.719,210.82044989999997,7.808,False
9,1,20100409,65.86,2.77,210.62285740000002,7.808,False
10,1,20100416,66.32,2.8080000000000003,210.4887,7.808,False
11,1,20100423,64.84,2.795,210.4391228,7.808,False
12,1,20100430,67.41,2.78,210.3895456,7.808,False
13,1,20100507,72.55,2.835,210.33996839999998,7.808,False
14,1,20100514,74.78,2.8539999999999996,210.3374261,7.808,False
15,1,20100521,76.44,2.826,210.6170934,7.808,False
16,1,20100528,80.44,2.759,210.89676060000002,7.808,False
17,1,20100604,80.69,2.705,211.1764278,7.808,False
18,1,20100611,80.43,2.668,211.4560951,7.808,False
19,1,20100618,84.11,2.637,211.4537719,7.808,False
20,1,20100625,84.34,2.653,211.33865260000002,7.808,False
21,1,20100702,80.91,2.6689999999999996,211.2235333,7.787000000000001,False
22,1,20100709,80.48,2.642,211.108414,7.787000000000001,False
23,1,20100716,83.15,2.623,211.10038540000002,7.787000000000001,False
24,1,20100723,83.36,2.608,211.2351443,7.787000000000001,False
25,1,20100730,81.84,2.64,211.36990319999995,7.787000000000001,False
26,1,20100806,87.16,2.627,211.5046621,7.787000000000001,False
27,1,20100813,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False
28,1,20100820,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False
29,1,20100827,85.22,2.6189999999999998,211.5673056,7.787000000000001,False
30,1,20100903,81.21,2.577,211.53124790000004,7.787000000000001,False
31,1,20100910,78.69,2.565,211.49519019999997,7.787000000000001,True
32,1,20100917,82.11,2.582,211.5224596,7.787000000000001,False
33,1,20100924,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False
34,1,20101001,71.89,2.603,211.6719895,7.837999999999999,False
35,1,20101008,63.93,2.633,211.74675440000001,7.837999999999999,False
36,1,20101015,67.18,2.72,211.81374359999998,7.837999999999999,False
37,1,20101022,69.86,2.725,211.8612937,7.837999999999999,False
38,1,20101029,69.64,2.716,211.9088438,7.837999999999999,False
39,1,20101105,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False
40,1,20101112,59.61,2.728,212.003944,7.837999999999999,False
41,1,20101119,51.41,2.7710000000000004,211.88967369999997,7.837999999999999,False
